alim_grp_nom;alim_nom;energie;eau;protéines;glucides;lipides;sucre;amidon;fibre;cendres;alcool;acides gras;ag saturés;cholestérol (mg/100 g);sel;fer (mg/100 g);magnésium (mg/100 g);potassium (mg/100 g);vitamine D (µg/100 g);vitamine E (mg/100 g);vitamine K1 (µg/100 g);vitamine C (mg/100 g);vitamine B1 (mg/100 g);vitamine B2 (mg/100 g);vitamine B3 (mg/100 g);vitamine B5 (mg/100 g);vitamine B6 (mg/100 g);vitamine B9 (µg/100 g);vitamine B12 (µg/100 g)
entrées et plats composés;Sauté d'agneau au curry, préemballé;-;73,5;10,5;-;13,9;-;-;1;1,7;0;6,7;6,7;-;1,29;2,15;13,3;200;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Canard en sauce (poivre vert, chasseur, etc.), préemballé;145;-;9,55;10,2;7,3;-;-;traces;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Lapin à la moutarde, préemballé;108;-;14,9;0,5;5;0,5;-;0,8;1,2;0;2,1;2,1;-;1,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
entrées et plats composés;Coq au vin;133;-;13;4;7;1;-;0,9;1,35;0;6,62;1;65;1,05;1,3;16;145;0,04;0,48;-;1,5;0,07;0,19;3,7;0,74;0,17;31;1,4
entrées et plats composés;Paupiette de veau;193;64,1;14,5;2,6;13,8;0,41;2,19;0,2;1,74;0;9,78;5,45;63,3;1,26;1;37,2;272;0,1;0,68;-;1,34;0,084;0,14;3,51;0,59;0,28;14,3;0,41
entrées et plats composés;Paupiette de volaille;164;64,2;23,9;8,8;3,4;-;2,97;1,17;1,51;0;3,09;0,65;59,6;1,05;1,03;38,6;264;0,14;0,69;-;1,33;0,082;0,11;3,97;0,56;0,31;13,8;0,28
entrées et plats composés;Viande en sauce (aliment moyen);104;77,1;11,3;3,65;4,6;1,34;1,71;1,08;1,3;0;7,444;1,8;49,8;0,85;1,13;14,2;198;0,23;0,81;;1,27;0,061;0,067;2,61;0,42;0,16;14,8;0,74
entrées et plats composés;Poulet au curry et au lait de coco;124;75,2;10,6;3,15;6,9;1,49;1,65;1,1;1,56;0;12,65;3,03;37,3;1,07;0,51;18;210;< 0,25;1,65;3,22;2,51;0,032;< 0,01;4,08;0,62;0,17;17,5;0,15
entrées et plats composés;Meloukhia, plat à base de boeuf et corete, fait maison;189;67,7;10,6;1,2;14,7;1,2;0;4,7;1,6;0;0;-;23;0,93;2,4;30,6;228;0;5,1;-;1,5;0,03;0,14;1,36;0,32;0,12;20;0,66
entrées et plats composés;Palette à la diable, préemballée;120;-;13,5;2,08;6,07;1,38;-;1,45;2,25;0;2,2;2,2;-;2,25;1;-;-;-;-;-;-;-;-;-;-;-;-;-
